region,date,type,median,lower_90,upper_90,lower_50,upper_50
England,2020-03-30,estimate,2982,2731,3230,2887,3092
England,2020-03-31,estimate,2853,2618,3087,2746,2945
England,2020-04-01,estimate,2711,2495,2949,2595,2784
England,2020-04-02,estimate,2553,2346,2784,2474,2655
England,2020-04-03,estimate,2401,2210,2634,2287,2460
England,2020-04-04,estimate,2251,2061,2465,2155,2318
England,2020-04-05,estimate,2108,1923,2308,2016,2174
England,2020-04-06,estimate,1975,1787,2154,1894,2046
England,2020-04-07,estimate,1857,1678,2028,1782,1929
England,2020-04-08,estimate,1750,1580,1911,1689,1830
England,2020-04-09,estimate,1656,1504,1814,1597,1728
England,2020-04-10,estimate,1573,1423,1723,1513,1640
England,2020-04-11,estimate,1500,1364,1649,1449,1569
England,2020-04-12,estimate,1441,1300,1571,1389,1502
England,2020-04-13,estimate,1390,1263,1520,1347,1454
England,2020-04-14,estimate,1344,1214,1463,1292,1392
England,2020-04-15,estimate,1308,1181,1423,1270,1365
England,2020-04-16,estimate,1278,1164,1395,1234,1325
England,2020-04-17,estimate,1253,1143,1368,1201,1291
England,2020-04-18,estimate,1232,1117,1337,1182,1271
England,2020-04-19,estimate,1210,1098,1313,1158,1245
England,2020-04-20,estimate,1190,1083,1297,1153,1238
England,2020-04-21,estimate,1172,1070,1282,1129,1213
England,2020-04-22,estimate,1154,1049,1257,1107,1190
England,2020-04-23,estimate,1134,1030,1237,1087,1169
England,2020-04-24,estimate,1113,1012,1216,1073,1154
England,2020-04-25,estimate,1090,987,1185,1042,1123
England,2020-04-26,estimate,1066,969,1162,1020,1100
England,2020-04-27,estimate,1039,943,1131,997,1073
England,2020-04-28,estimate,1010,918,1103,970,1044
England,2020-04-29,estimate,983,890,1069,949,1020
England,2020-04-30,estimate,952,857,1031,918,988
England,2020-05-01,estimate,922,837,1004,886,954
England,2020-05-02,estimate,893,811,974,858,924
England,2020-05-03,estimate,864,783,941,832,895
England,2020-05-04,estimate,837,765,920,812,874
England,2020-05-05,estimate,811,746,897,779,839
England,2020-05-06,estimate,787,719,865,754,813
England,2020-05-07,estimate,764,687,830,734,791
England,2020-05-08,estimate,742,670,810,717,772
England,2020-05-09,estimate,722,648,782,699,752
England,2020-05-10,estimate,704,638,767,676,729
England,2020-05-11,estimate,687,628,753,661,712
England,2020-05-12,estimate,671,614,734,650,700
England,2020-05-13,estimate,656,598,716,630,679
England,2020-05-14,estimate,641,587,703,620,667
England,2020-05-15,estimate,627,572,688,601,647
England,2020-05-16,estimate,612,559,673,586,631
England,2020-05-17,estimate,598,544,655,573,618
England,2020-05-18,estimate,582,535,641,558,603
England,2020-05-19,estimate,567,519,622,541,585
England,2020-05-20,estimate,551,504,604,529,571
England,2020-05-21,estimate,535,489,587,514,554
England,2020-05-22,estimate,519,470,565,497,536
England,2020-05-23,estimate,502,456,547,481,518
England,2020-05-24,estimate,485,441,529,468,504
England,2020-05-25,estimate,469,429,515,448,483
England,2020-05-26,estimate,453,413,494,434,467
England,2020-05-27,estimate,436,400,478,422,455
England,2020-05-28,estimate,421,385,462,403,436
England,2020-05-29,estimate,407,370,445,392,423
England,2020-05-30,estimate,394,356,429,378,408
England,2020-05-31,estimate,381,345,416,365,394
England,2020-06-01,estimate,369,338,408,355,383
England,2020-06-02,estimate,359,326,395,345,373
England,2020-06-03,estimate,349,318,385,337,365
England,2020-06-04,estimate,341,305,371,327,355
England,2020-06-05,estimate,333,298,362,320,346
England,2020-06-06,estimate,325,293,356,310,336
England,2020-06-07,estimate,318,287,349,304,329
England,2020-06-08,estimate,311,282,342,295,320
England,2020-06-09,estimate,304,275,334,295,320
England,2020-06-10,estimate,298,269,327,285,309
England,2020-06-11,estimate,291,263,319,281,305
England,2020-06-12,estimate,283,256,310,270,294
England,2020-06-13,estimate,275,248,300,263,285
England,2020-06-14,estimate,267,243,293,254,275
England,2020-06-15,estimate,258,233,281,247,267
England,2020-06-16,estimate,249,225,273,239,259
England,2020-06-17,estimate,240,216,262,229,247
England,2020-06-18,estimate,229,208,252,220,238
England,2020-06-19,estimate,219,199,242,212,229
England,2020-06-20,estimate,209,189,230,200,216
England,2020-06-21,estimate,199,179,218,192,207
England,2020-06-22,estimate,189,169,207,182,196
England,2020-06-23,estimate,179,161,198,172,186
England,2020-06-24,estimate,170,153,188,162,176
England,2020-06-25,estimate,161,144,179,154,166
England,2020-06-26,estimate,152,136,169,146,158
England,2020-06-27,estimate,145,130,161,138,149
England,2020-06-28,estimate,138,122,152,130,142
England,2020-06-29,estimate,131,117,145,124,135
England,2020-06-30,estimate,125,112,139,119,130
England,2020-07-01,estimate,120,108,134,115,125
England,2020-07-02,estimate,115,103,127,109,119
England,2020-07-03,estimate,110,99,123,106,116
England,2020-07-04,estimate,106,96,118,102,111
England,2020-07-05,estimate,103,92,114,98,107
England,2020-07-06,estimate,100,89,110,94,103
England,2020-07-07,estimate,97,87,108,93,101
England,2020-07-08,estimate,94,85,105,89,97
England,2020-07-09,estimate,92,83,103,87,95
England,2020-07-10,estimate,90,80,100,86,93
England,2020-07-11,estimate,88,79,97,83,91
