region,date,confirm
England,2020-03-19,586
East of England,2020-03-19,23
London,2020-03-19,240
Midlands,2020-03-19,96
North East and Yorkshire,2020-03-19,48
North West,2020-03-19,47
South East,2020-03-19,103
South West,2020-03-19,29
England,2020-03-20,691
East of England,2020-03-20,23
London,2020-03-20,272
Midlands,2020-03-20,164
North East and Yorkshire,2020-03-20,43
North West,2020-03-20,56
South East,2020-03-20,90
South West,2020-03-20,43
England,2020-03-21,777
East of England,2020-03-21,37
London,2020-03-21,311
Midlands,2020-03-21,151
North East and Yorkshire,2020-03-21,73
North West,2020-03-21,71
South East,2020-03-21,91
South West,2020-03-21,43
England,2020-03-22,859
East of England,2020-03-22,49
London,2020-03-22,335
Midlands,2020-03-22,192
North East and Yorkshire,2020-03-22,69
North West,2020-03-22,83
South East,2020-03-22,94
South West,2020-03-22,37
England,2020-03-23,1128
East of England,2020-03-23,46
London,2020-03-23,505
Midlands,2020-03-23,208
North East and Yorkshire,2020-03-23,107
North West,2020-03-23,86
South East,2020-03-23,114
South West,2020-03-23,62
England,2020-03-24,1544
East of England,2020-03-24,106
London,2020-03-24,637
Midlands,2020-03-24,329
North East and Yorkshire,2020-03-24,167
North West,2020-03-24,122
South East,2020-03-24,123
South West,2020-03-24,60
England,2020-03-25,1755
East of England,2020-03-25,76
London,2020-03-25,675
Midlands,2020-03-25,422
North East and Yorkshire,2020-03-25,160
North West,2020-03-25,187
South East,2020-03-25,141
South West,2020-03-25,94
England,2020-03-26,1639
East of England,2020-03-26,160
London,2020-03-26,519
Midlands,2020-03-26,356
North East and Yorkshire,2020-03-26,196
North West,2020-03-26,184
South East,2020-03-26,138
South West,2020-03-26,86
England,2020-03-27,1931
East of England,2020-03-27,94
London,2020-03-27,639
Midlands,2020-03-27,404
North East and Yorkshire,2020-03-27,240
North West,2020-03-27,219
South East,2020-03-27,230
South West,2020-03-27,105
England,2020-03-28,1873
East of England,2020-03-28,124
London,2020-03-28,551
Midlands,2020-03-28,350
North East and Yorkshire,2020-03-28,258
North West,2020-03-28,210
South East,2020-03-28,250
South West,2020-03-28,130
England,2020-03-29,2186
East of England,2020-03-29,201
London,2020-03-29,672
Midlands,2020-03-29,481
North East and Yorkshire,2020-03-29,254
North West,2020-03-29,198
South East,2020-03-29,273
South West,2020-03-29,107
England,2020-03-30,2817
East of England,2020-03-30,148
London,2020-03-30,883
Midlands,2020-03-30,581
North East and Yorkshire,2020-03-30,340
North West,2020-03-30,420
South East,2020-03-30,317
South West,2020-03-30,128
England,2020-03-31,2447
East of England,2020-03-31,146
London,2020-03-31,645
Midlands,2020-03-31,594
North East and Yorkshire,2020-03-31,303
North West,2020-03-31,342
South East,2020-03-31,295
South West,2020-03-31,122
England,2020-04-01,3099
East of England,2020-04-01,167
London,2020-04-01,767
Midlands,2020-04-01,776
North East and Yorkshire,2020-04-01,507
North West,2020-04-01,466
South East,2020-04-01,304
South West,2020-04-01,112
England,2020-04-02,2932
East of England,2020-04-02,184
London,2020-04-02,835
Midlands,2020-04-02,582
North East and Yorkshire,2020-04-02,423
North West,2020-04-02,434
South East,2020-04-02,322
