region,date,confirm,breakpoint
Wales,2020-08-08,5,0
Wales,2020-08-09,8,1
Wales,2020-08-10,19,0
Northern Ireland,2020-08-10,44,0
Wales,2020-08-11,27,0
Northern Ireland,2020-08-11,38,0
Wales,2020-08-12,24,0
Northern Ireland,2020-08-12,40,0
Wales,2020-08-13,17,0
Northern Ireland,2020-08-13,51,0
Wales,2020-08-14,17,0
Northern Ireland,2020-08-14,57,0
Wales,2020-08-15,10,0
Northern Ireland,2020-08-15,22,0
Wales,2020-08-16,18,1
Northern Ireland,2020-08-16,20,1
Wales,2020-08-17,19,0
Northern Ireland,2020-08-17,53,0
Wales,2020-08-18,38,0
Northern Ireland,2020-08-18,43,0
Wales,2020-08-19,35,0
Northern Ireland,2020-08-19,41,0
Wales,2020-08-20,31,0
Northern Ireland,2020-08-20,71,0
Wales,2020-08-21,22,0
Northern Ireland,2020-08-21,80,0
Wales,2020-08-22,19,0
Northern Ireland,2020-08-22,42,0
Wales,2020-08-23,11,1
Northern Ireland,2020-08-23,52,1
Wales,2020-08-24,36,0
Northern Ireland,2020-08-24,45,0
Wales,2020-08-25,50,0
Northern Ireland,2020-08-25,65,0
Wales,2020-08-26,44,0
Northern Ireland,2020-08-26,70,0
Wales,2020-08-27,50,0
Northern Ireland,2020-08-27,79,0
Wales,2020-08-28,52,0
Northern Ireland,2020-08-28,87,0
Wales,2020-08-29,44,0
Northern Ireland,2020-08-29,44,0
Wales,2020-08-30,46,1
Northern Ireland,2020-08-30,35,1
Wales,2020-08-31,44,0
Northern Ireland,2020-08-31,54,0
Wales,2020-09-01,57,0
Northern Ireland,2020-09-01,65,0
Wales,2020-09-02,95,0
Northern Ireland,2020-09-02,91,0
Wales,2020-09-03,125,0
Northern Ireland,2020-09-03,107,0
Wales,2020-09-04,149,0
Northern Ireland,2020-09-04,131,0
Wales,2020-09-05,128,0
Northern Ireland,2020-09-05,91,0
Wales,2020-09-06,131,1
Northern Ireland,2020-09-06,106,1
Wales,2020-09-07,159,0
Northern Ireland,2020-09-07,72,0
Wales,2020-09-08,143,0
Northern Ireland,2020-09-08,56,0
Wales,2020-09-09,158,0
Northern Ireland,2020-09-09,98,0
Wales,2020-09-10,186,0
Northern Ireland,2020-09-10,79,0
Wales,2020-09-11,145,0
Northern Ireland,2020-09-11,73,0
