region,date,confirm,breakpoint
Northern Ireland,2020-08-09,2,0
Wales,2020-08-09,51,0
Northern Ireland,2020-08-10,0,0
Wales,2020-08-10,31,0
Northern Ireland,2020-08-11,2,0
Wales,2020-08-11,47,0
Northern Ireland,2020-08-12,2,0
Wales,2020-08-12,45,0
Northern Ireland,2020-08-13,2,0
Wales,2020-08-13,63,0
Northern Ireland,2020-08-14,2,0
Wales,2020-08-14,39,0
Northern Ireland,2020-08-15,2,0
Wales,2020-08-15,52,0
Northern Ireland,2020-08-16,2,0
Wales,2020-08-16,37,0
Northern Ireland,2020-08-17,6,0
Wales,2020-08-17,38,0
Northern Ireland,2020-08-18,6,0
Wales,2020-08-18,63,0
Northern Ireland,2020-08-19,6,0
Wales,2020-08-19,45,0
Northern Ireland,2020-08-20,6,0
Wales,2020-08-20,39,0
Northern Ireland,2020-08-21,3,0
Wales,2020-08-21,54,0
Northern Ireland,2020-08-22,2,0
Wales,2020-08-22,39,0
Northern Ireland,2020-08-23,3,0
Wales,2020-08-23,26,0
Northern Ireland,2020-08-24,6,0
Wales,2020-08-24,36,0
Northern Ireland,2020-08-25,2,0
Wales,2020-08-25,49,0
Northern Ireland,2020-08-26,0,0
Wales,2020-08-26,69,0
Northern Ireland,2020-08-27,4,0
Wales,2020-08-27,70,0
Northern Ireland,2020-08-28,5,0
Wales,2020-08-28,83,0
Northern Ireland,2020-08-29,2,0
Wales,2020-08-29,52,0
Northern Ireland,2020-08-30,3,0
Wales,2020-08-30,33,0
Northern Ireland,2020-08-31,5,0
Wales,2020-08-31,29,0
Northern Ireland,2020-09-01,4,0
Wales,2020-09-01,69,0
Northern Ireland,2020-09-02,0,0
Wales,2020-09-02,59,0
Northern Ireland,2020-09-03,3,0
Wales,2020-09-03,70,0
Northern Ireland,2020-09-04,2,0
Wales,2020-09-04,69,0
Northern Ireland,2020-09-05,1,0
Wales,2020-09-05,27,0
Northern Ireland,2020-09-06,4,0
Wales,2020-09-06,42,0
Northern Ireland,2020-09-07,1,0
Wales,2020-09-07,46,0
Northern Ireland,2020-09-08,10,0
Wales,2020-09-08,65,0
Northern Ireland,2020-09-09,1,0
Wales,2020-09-09,56,0
Northern Ireland,2020-09-10,7,0
Wales,2020-09-10,49,0
Northern Ireland,2020-09-11,6,0
Wales,2020-09-11,70,0
Northern Ireland,2020-09-12,4,0
Wales,2020-09-12,55,0
Northern Ireland,2020-09-13,5,0
Wales,2020-09-13,55,0
Northern Ireland,2020-09-14,8,0
Wales,2020-09-14,59,0
Northern Ireland,2020-09-15,5,0
Wales,2020-09-15,53,0
Northern Ireland,2020-09-16,2,0
Wales,2020-09-16,65,0
Northern Ireland,2020-09-17,5,0
Wales,2020-09-17,42,0
Northern Ireland,2020-09-18,2,0
Wales,2020-09-18,41,0
Northern Ireland,2020-09-19,3,0
Wales,2020-09-19,34,0
Northern Ireland,2020-09-20,6,0
Wales,2020-09-20,28,0
Northern Ireland,2020-09-21,12,0
Wales,2020-09-21,59,0
Northern Ireland,2020-09-22,8,0
Wales,2020-09-22,43,0
Northern Ireland,2020-09-23,12,0
Wales,2020-09-23,70,0
Northern Ireland,2020-09-24,8,0
Wales,2020-09-24,94,0
Northern Ireland,2020-09-25,7,0
Wales,2020-09-25,67,0
Northern Ireland,2020-09-26,11,0
Wales,2020-09-26,61,0
Northern Ireland,2020-09-27,10,0
Wales,2020-09-27,56,0
Northern Ireland,2020-09-28,21,0
Wales,2020-09-28,71,0
Northern Ireland,2020-09-29,7,0
Wales,2020-09-29,90,0
Northern Ireland,2020-09-30,15,0
Wales,2020-09-30,61,0
Northern Ireland,2020-10-01,13,0
Wales,2020-10-01,79,0
Northern Ireland,2020-10-02,10,0
Wales,2020-10-02,94,0
Northern Ireland,2020-10-03,22,0
Wales,2020-10-03,79,0
Northern Ireland,2020-10-04,17,0
Wales,2020-10-04,92,0
Northern Ireland,2020-10-05,22,0
Wales,2020-10-05,59,0
Northern Ireland,2020-10-06,26,0
Wales,2020-10-06,80,0
Northern Ireland,2020-10-07,30,0
Wales,2020-10-07,85,0
Northern Ireland,2020-10-08,27,0
Wales,2020-10-08,76,0
Northern Ireland,2020-10-09,23,0
Wales,2020-10-09,60,0
Northern Ireland,2020-10-10,28,0
Wales,2020-10-10,103,0
Northern Ireland,2020-10-11,33,0
Wales,2020-10-11,79,0
Northern Ireland,2020-10-12,28,0
Wales,2020-10-12,86,0
Northern Ireland,2020-10-13,46,0
Wales,2020-10-13,98,0
Northern Ireland,2020-10-14,35,0
Wales,2020-10-14,123,0
Northern Ireland,2020-10-15,43,0
Wales,2020-10-15,102,0
Northern Ireland,2020-10-16,46,1
Wales,2020-10-16,105,0
Northern Ireland,2020-10-17,42,0
Wales,2020-10-17,112,0
Northern Ireland,2020-10-18,40,0
Wales,2020-10-18,88,0
Northern Ireland,2020-10-19,41,0
Wales,2020-10-19,60,0
Northern Ireland,2020-10-20,51,0
Wales,2020-10-20,77,0
Northern Ireland,2020-10-21,36,0
Wales,2020-10-21,92,0
Northern Ireland,2020-10-22,43,0
Wales,2020-10-22,107,0
Northern Ireland,2020-10-23,43,0
Wales,2020-10-23,123,0
Northern Ireland,2020-10-24,48,0
Wales,2020-10-24,98,1
Northern Ireland,2020-10-25,43,0
Wales,2020-10-25,78,0
Northern Ireland,2020-10-26,34,0
Wales,2020-10-26,76,0
Northern Ireland,2020-10-27,41,0
Wales,2020-10-27,114,0
Northern Ireland,2020-10-28,27,0
Wales,2020-10-28,83,0
Northern Ireland,2020-10-29,8,0
Wales,2020-10-29,83,0
Northern Ireland,2020-10-30,,0
Wales,2020-10-30,97,0
Northern Ireland,2020-10-31,,0
Wales,2020-10-31,,0
