region,date,confirm
England,2020-03-08,58
Northern Ireland,2020-03-08,5
Scotland,2020-03-08,2
Wales,2020-03-08,0
East of England,2020-03-08,2
London,2020-03-08,22
Midlands,2020-03-08,5
North East and Yorkshire,2020-03-08,3
North West,2020-03-08,5
South East,2020-03-08,10
South West,2020-03-08,3
England,2020-03-09,40
Northern Ireland,2020-03-09,3
Scotland,2020-03-09,5
Wales,2020-03-09,2
East of England,2020-03-09,4
London,2020-03-09,53
Midlands,2020-03-09,18
North East and Yorkshire,2020-03-09,10
North West,2020-03-09,7
South East,2020-03-09,24
South West,2020-03-09,5
England,2020-03-10,46
Northern Ireland,2020-03-10,0
Scotland,2020-03-10,4
Wales,2020-03-10,2
East of England,2020-03-10,16
London,2020-03-10,91
Midlands,2020-03-10,29
North East and Yorkshire,2020-03-10,22
North West,2020-03-10,15
South East,2020-03-10,34
South West,2020-03-10,10
England,2020-03-11,63
Northern Ireland,2020-03-11,2
Scotland,2020-03-11,9
Wales,2020-03-11,9
East of England,2020-03-11,14
London,2020-03-11,183
Midlands,2020-03-11,54
North East and Yorkshire,2020-03-11,11
North West,2020-03-11,17
South East,2020-03-11,50
South West,2020-03-11,14
England,2020-03-12,99
Northern Ireland,2020-03-12,1
Scotland,2020-03-12,24
Wales,2020-03-12,10
East of England,2020-03-12,18
London,2020-03-12,165
Midlands,2020-03-12,64
North East and Yorkshire,2020-03-12,16
North West,2020-03-12,40
South East,2020-03-12,85
South West,2020-03-12,18
England,2020-03-13,159
Northern Ireland,2020-03-13,10
Scotland,2020-03-13,25
Wales,2020-03-13,13
East of England,2020-03-13,37
London,2020-03-13,136
Midlands,2020-03-13,62
North East and Yorkshire,2020-03-13,18
North West,2020-03-13,41
South East,2020-03-13,53
South West,2020-03-13,30
England,2020-03-14,201
Northern Ireland,2020-03-14,5
Scotland,2020-03-14,36
Wales,2020-03-14,22
East of England,2020-03-14,16
London,2020-03-14,149
Midlands,2020-03-14,50
North East and Yorkshire,2020-03-14,18
North West,2020-03-14,25
South East,2020-03-14,41
South West,2020-03-14,10
England,2020-03-15,253
Northern Ireland,2020-03-15,11
Scotland,2020-03-15,32
Wales,2020-03-15,34
East of England,2020-03-15,35
London,2020-03-15,165
Midlands,2020-03-15,70
North East and Yorkshire,2020-03-15,20
North West,2020-03-15,23
South East,2020-03-15,53
South West,2020-03-15,17
England,2020-03-16,97
Northern Ireland,2020-03-16,7
