region,point,lower,upper,mid_lower,mid_upper,metric,Expected change in daily cases
England,5,1,10,3,5,New confirmed cases by infection date,Likely decreasing
Northern Ireland,1.06,0.33,2.5,0.76,1.21,Effective reproduction no.,Unsure
England,0.88,0.73,1.09,0.83,0.92,Effective reproduction no.,Likely decreasing
Wales,0.67,0,1.3,0.36,0.99,Effective reproduction no.,Unsure
Scotland,0.45,0,0.91,0,0.45,Effective reproduction no.,Likely decreasing
Northern Ireland,0,0,8,0,0,New confirmed cases by infection date,Unsure
Scotland,0,0,0,0,0,New confirmed cases by infection date,Likely decreasing
Wales,0,0,3,0,0,New confirmed cases by infection date,Unsure
