region,date,type,median,lower_90,upper_90,lower_50,upper_50
England,2020-06-09,estimate,57,47,65,53,60
England,2020-06-10,estimate,54,46,63,51,57
England,2020-06-11,estimate,52,44,60,48,55
England,2020-06-12,estimate,49,41,57,46,52
England,2020-06-13,estimate,47,40,55,44,50
England,2020-06-14,estimate,45,38,53,42,48
England,2020-06-15,estimate,43,36,50,40,46
England,2020-06-16,estimate,41,34,48,38,44
England,2020-06-17,estimate,39,33,46,37,42
England,2020-06-18,estimate,38,31,44,35,40
England,2020-06-19,estimate,36,30,42,33,38
England,2020-06-20,estimate,34,29,40,32,37
England,2020-06-21,estimate,33,27,38,30,35
England,2020-06-22,estimate,31,26,37,29,34
England,2020-06-23,estimate,30,25,35,28,32
England,2020-06-24,estimate,29,24,34,26,30
England,2020-06-25,estimate,28,23,33,25,30
England,2020-06-26,estimate,26,22,31,24,28
England,2020-06-27,estimate,25,21,30,23,26
England,2020-06-28,estimate,24,20,29,22,26
England,2020-06-29,estimate,23,19,27,21,25
England,2020-06-30,estimate,22,18,27,20,24
England,2020-07-01,estimate,21,18,26,19,23
England,2020-07-02,estimate,20,17,25,19,22
England,2020-07-03,estimate,20,16,24,18,21
England,2020-07-04,estimate,19,15,22,17,20
England,2020-07-05,estimate,18,15,22,17,19
England,2020-07-06,estimate,17,14,21,16,19
England,2020-07-07,estimate,17,14,20,16,18
England,2020-07-08,estimate,16,13,19,15,17
England,2020-07-09,estimate,16,12,18,15,17
England,2020-07-10,estimate,15,12,18,14,16
England,2020-07-11,estimate,15,12,17,13,15
England,2020-07-12,estimate,14,11,17,13,15
England,2020-07-13,estimate,14,11,16,13,15
England,2020-07-14,estimate,13,11,15,12,14
England,2020-07-15,estimate,13,10,15,12,14
England,2020-07-16,estimate,12,10,14,11,13
England,2020-07-17,estimate,12,9,14,11,13
England,2020-07-18,estimate,11,9,14,11,12
England,2020-07-19,estimate,11,9,13,10,12
England,2020-07-20,estimate,11,9,13,10,12
England,2020-07-21,estimate,10,8,12,10,11
England,2020-07-22,estimate,10,8,12,9,11
England,2020-07-23,estimate,10,8,12,9,10
England,2020-07-24,estimate,10,8,12,9,10
England,2020-07-25,estimate,9,7,11,8,10
England,2020-07-26,estimate,9,7,11,8,10
England,2020-07-27,estimate,9,7,11,8,10
England,2020-07-28,estimate,9,7,11,8,9
England,2020-07-29,estimate,8,6,10,7,9
England,2020-07-30,estimate,8,6,10,7,9
England,2020-07-31,estimate,8,6,10,7,9
England,2020-08-01,estimate based on partial data,8,6,10,7,8
England,2020-08-02,estimate based on partial data,8,5,10,6,8
England,2020-08-03,estimate based on partial data,7,5,10,6,8
England,2020-08-04,estimate based on partial data,7,5,10,6,8
England,2020-08-05,estimate based on partial data,7,5,10,6,8
England,2020-08-06,estimate based on partial data,7,4,10,5,7
