region,date,type,median,lower_90,upper_90,lower_50,upper_50
England,2020-03-02,estimate,3,0,6,2,4
England,2020-03-03,estimate,5,1,9,2,5
England,2020-03-04,estimate,6,2,10,4,7
England,2020-03-05,estimate,8,3,13,4,8
England,2020-03-06,estimate,9,3,14,5,9
England,2020-03-07,estimate,11,4,17,6,11
England,2020-03-08,estimate,12,5,18,8,13
England,2020-03-09,estimate,14,6,21,8,14
England,2020-03-10,estimate,16,7,24,10,17
England,2020-03-11,estimate,17,8,26,12,19
England,2020-03-12,estimate,20,11,30,13,21
England,2020-03-13,estimate,21,9,30,15,23
England,2020-03-14,estimate,25,13,36,19,28
England,2020-03-15,estimate,29,14,41,21,31
England,2020-03-16,estimate,36,19,51,26,39
England,2020-03-17,estimate,45,25,63,36,51
England,2020-03-18,estimate,54,32,76,40,58
England,2020-03-19,estimate,71,42,98,57,79
England,2020-03-20,estimate,83,50,114,66,92
England,2020-03-21,estimate,108,66,146,88,119
England,2020-03-22,estimate,136,86,184,112,152
England,2020-03-23,estimate,178,116,244,140,195
England,2020-03-24,estimate,228,155,317,183,250
England,2020-03-25,estimate,269,172,363,211,290
England,2020-03-26,estimate,330,219,452,262,353
England,2020-03-27,estimate,362,242,485,305,402
England,2020-03-28,estimate,430,290,578,356,469
England,2020-03-29,estimate,482,322,635,403,530
England,2020-03-30,estimate,572,374,754,475,626
England,2020-03-31,estimate,643,429,871,535,714
England,2020-04-01,estimate,675,441,894,557,742
England,2020-04-02,estimate,738,509,1004,635,824
England,2020-04-03,estimate,736,476,977,631,837
England,2020-04-04,estimate,770,517,1033,665,876
England,2020-04-05,estimate,795,513,1055,658,875
England,2020-04-06,estimate,846,549,1111,706,929
England,2020-04-07,estimate,885,612,1220,749,985
England,2020-04-08,estimate,856,564,1152,716,943
England,2020-04-09,estimate,880,596,1183,734,972
England,2020-04-10,estimate,812,545,1071,664,875
England,2020-04-11,estimate,818,549,1109,693,915
England,2020-04-12,estimate,798,555,1088,658,867
England,2020-04-13,estimate,807,550,1084,670,889
England,2020-04-14,estimate,821,557,1114,669,889
England,2020-04-15,estimate,778,513,1047,665,878
England,2020-04-16,estimate,776,511,1031,642,850
England,2020-04-17,estimate,709,464,936,606,798
England,2020-04-18,estimate,699,466,927,579,774
England,2020-04-19,estimate,675,473,923,575,750
England,2020-04-20,estimate,682,441,897,554,740
England,2020-04-21,estimate,694,477,939,601,791
England,2020-04-22,estimate,638,437,878,534,708
England,2020-04-23,estimate,634,435,854,547,717
England,2020-04-24,estimate,572,383,765,473,632
England,2020-04-25,estimate,558,367,747,444,598
England,2020-04-26,estimate,530,353,713,439,583
England,2020-04-27,estimate,534,362,714,443,585
England,2020-04-28,estimate,532,358,705,432,572
England,2020-04-29,estimate,487,322,658,409,539
England,2020-04-30,estimate,480,322,631,405,538
England,2020-05-01,estimate,426,283,570,352,467
England,2020-05-02,estimate,419,277,573,336,454
England,2020-05-03,estimate,401,263,535,348,455
England,2020-05-04,estimate,399,257,523,351,459
England,2020-05-05,estimate,394,261,529,327,437
England,2020-05-06,estimate,360,236,487,309,408
England,2020-05-07,estimate,356,231,478,298,393
England,2020-05-08,estimate,319,206,427,269,357
England,2020-05-09,estimate,313,200,411,262,344
England,2020-05-10,estimate,299,199,403,245,325
England,2020-05-11,estimate,299,194,400,251,331
England,2020-05-12,estimate,294,195,399,244,325
England,2020-05-13,estimate,279,187,375,231,306
England,2020-05-14,estimate,272,169,358,226,299
England,2020-05-15,estimate,249,160,332,213,284
England,2020-05-16,estimate,245,162,333,194,265
England,2020-05-17,estimate,236,150,307,199,263
England,2020-05-18,estimate,234,154,318,193,259
England,2020-05-19,estimate,237,156,318,192,258
England,2020-05-20,estimate,219,139,297,176,239
England,2020-05-21,estimate,216,146,297,175,233
England,2020-05-22,estimate,198,129,266,160,217
England,2020-05-23,estimate,193,126,261,162,217
England,2020-05-24,estimate,182,123,248,145,197
England,2020-05-25,estimate,183,111,240,156,206
England,2020-05-26,estimate,182,119,245,149,199
England,2020-05-27,estimate,169,116,231,144,191
England,2020-05-28,estimate,166,104,220,138,184
England,2020-05-29,estimate,147,98,203,119,163
England,2020-05-30,estimate,143,91,193,118,158
England,2020-05-31,estimate,136,88,184,112,151
England,2020-06-01,estimate,134,85,183,106,145
England,2020-06-02,estimate,132,84,179,105,144
England,2020-06-03,estimate,120,78,168,103,138
England,2020-06-04,estimate,118,76,160,98,132
England,2020-06-05,estimate,103,67,143,85,114
England,2020-06-06,estimate,100,64,138,80,110
England,2020-06-07,estimate,94,62,131,72,100
England,2020-06-08,estimate,93,55,127,74,101
England,2020-06-09,estimate,93,61,130,76,104
England,2020-06-10,estimate,86,54,119,70,96
England,2020-06-11,estimate,84,50,113,66,91
England,2020-06-12,estimate,73,45,101,57,79
England,2020-06-13,estimate,71,48,101,58,80
England,2020-06-14,estimate,68,41,92,55,76
England,2020-06-15,estimate,67,41,92,56,76
England,2020-06-16,estimate,68,40,94,50,72
England,2020-06-17,estimate,62,38,87,47,66
England,2020-06-18,estimate,61,38,86,46,65
England,2020-06-19,estimate,55,35,78,43,60
England,2020-06-20,estimate,53,31,74,41,58
England,2020-06-21,estimate,51,30,71,37,54
England,2020-06-22,estimate,51,31,71,40,56
England,2020-06-23,estimate,50,30,70,42,57
England,2020-06-24,estimate,47,27,66,39,54
England,2020-06-25,estimate,46,28,65,35,50
England,2020-06-26,estimate,42,25,59,31,45
England,2020-06-27,estimate,40,25,58,31,45
England,2020-06-28,estimate,39,22,55,26,40
England,2020-06-29,estimate,38,22,53,30,42
England,2020-06-30,estimate,38,21,53,28,41
England,2020-07-01,estimate,35,21,51,26,38
England,2020-07-02,estimate,34,22,50,25,37
England,2020-07-03,estimate,31,16,43,21,32
England,2020-07-04,estimate,29,16,43,20,31
England,2020-07-05,estimate,28,16,42,20,30
England,2020-07-06,estimate,28,15,40,23,32
England,2020-07-07,estimate,27,15,40,20,30
England,2020-07-08,estimate,25,14,37,18,27
England,2020-07-09,estimate,24,14,36,16,25
England,2020-07-10,estimate,22,12,32,16,24
England,2020-07-11,estimate,21,10,31,15,23
