region,date,type,median,lower_90,upper_90,lower_50,upper_50
England,2020-01-25,estimate,0,0,0,0,0
England,2020-01-26,estimate,0,0,0,0,0
England,2020-01-27,estimate,0,0,0,0,0
England,2020-01-28,estimate,1,1,1,1,1
England,2020-01-29,estimate,1,1,1,1,1
England,2020-01-30,estimate,1,1,1,1,1
England,2020-01-31,estimate,1,1,1,1,1
England,2020-02-01,estimate,1,1,1,1,1
England,2020-02-02,estimate,1,1,1,1,1
England,2020-02-03,estimate,1,1,1,1,1
England,2020-02-04,estimate,0,0,0,0,0
England,2020-02-05,estimate,1,0,1,1,1
England,2020-02-06,estimate,1,0,1,1,1
England,2020-02-07,estimate,1,0,1,1,1
England,2020-02-08,estimate,1,0,1,0,1
England,2020-02-09,estimate,1,0,1,0,1
England,2020-02-10,estimate,1,0,1,1,1
England,2020-02-11,estimate,1,0,1,1,1
England,2020-02-12,estimate,1,0,1,1,1
England,2020-02-13,estimate,1,1,2,1,1
England,2020-02-14,estimate,1,1,2,1,1
England,2020-02-15,estimate,1,1,2,1,2
England,2020-02-16,estimate,2,1,3,1,2
England,2020-02-17,estimate,2,1,3,2,3
England,2020-02-18,estimate,3,2,4,2,3
England,2020-02-19,estimate,4,3,5,3,4
England,2020-02-20,estimate,5,4,7,4,5
England,2020-02-21,estimate,7,5,9,6,7
England,2020-02-22,estimate,9,7,12,8,10
England,2020-02-23,estimate,13,10,15,12,14
England,2020-02-24,estimate,17,14,21,16,19
England,2020-02-25,estimate,24,20,28,22,25
England,2020-02-26,estimate,32,27,37,30,34
England,2020-02-27,estimate,44,38,50,41,46
England,2020-02-28,estimate,58,51,66,55,61
England,2020-02-29,estimate,77,68,87,72,80
England,2020-03-01,estimate,101,89,113,94,104
England,2020-03-02,estimate,130,115,145,124,136
England,2020-03-03,estimate,166,149,185,158,172
England,2020-03-04,estimate,210,188,232,198,216
England,2020-03-05,estimate,262,237,289,251,272
England,2020-03-06,estimate,324,295,355,313,338
England,2020-03-07,estimate,398,364,436,379,410
England,2020-03-08,estimate,484,441,528,466,503
England,2020-03-09,estimate,586,531,640,565,608
England,2020-03-10,estimate,704,641,771,675,727
England,2020-03-11,estimate,842,764,921,806,869
England,2020-03-12,estimate,1000,896,1085,958,1033
England,2020-03-13,estimate,1180,1071,1292,1116,1207
England,2020-03-14,estimate,1383,1255,1507,1331,1435
England,2020-03-15,estimate,1608,1465,1749,1553,1671
England,2020-03-16,estimate,1857,1699,2026,1794,1926
