region,date,type,median,lower_90,upper_90,lower_50,upper_50
England,2020-03-22,estimate,1.61,1.52,1.72,1.57,1.65
England,2020-03-23,estimate,1.57,1.47,1.66,1.52,1.6
England,2020-03-24,estimate,1.51,1.42,1.6,1.47,1.54
England,2020-03-25,estimate,1.46,1.38,1.55,1.43,1.5
England,2020-03-26,estimate,1.41,1.32,1.49,1.38,1.44
England,2020-03-27,estimate,1.36,1.27,1.44,1.32,1.39
England,2020-03-28,estimate,1.31,1.22,1.38,1.27,1.34
England,2020-03-29,estimate,1.26,1.18,1.34,1.22,1.28
England,2020-03-30,estimate,1.21,1.13,1.29,1.17,1.24
England,2020-03-31,estimate,1.16,1.09,1.24,1.13,1.19
England,2020-04-01,estimate,1.12,1.05,1.19,1.1,1.16
England,2020-04-02,estimate,1.08,1.01,1.15,1.05,1.11
England,2020-04-03,estimate,1.05,0.98,1.12,1.01,1.07
England,2020-04-04,estimate,1.02,0.95,1.08,0.99,1.04
England,2020-04-05,estimate,0.99,0.92,1.05,0.96,1.01
England,2020-04-06,estimate,0.96,0.9,1.03,0.94,0.99
England,2020-04-07,estimate,0.94,0.87,1.01,0.91,0.97
England,2020-04-08,estimate,0.92,0.86,0.99,0.9,0.95
England,2020-04-09,estimate,0.9,0.84,0.96,0.88,0.93
England,2020-04-10,estimate,0.89,0.82,0.95,0.86,0.91
England,2020-04-11,estimate,0.88,0.81,0.94,0.85,0.9
England,2020-04-12,estimate,0.87,0.8,0.93,0.84,0.89
England,2020-04-13,estimate,0.86,0.8,0.92,0.83,0.88
England,2020-04-14,estimate,0.85,0.79,0.91,0.82,0.87
England,2020-04-15,estimate,0.84,0.78,0.9,0.82,0.87
England,2020-04-16,estimate,0.84,0.78,0.91,0.82,0.87
England,2020-04-17,estimate,0.84,0.77,0.9,0.81,0.86
England,2020-04-18,estimate,0.84,0.77,0.9,0.81,0.86
England,2020-04-19,estimate,0.83,0.78,0.9,0.8,0.86
England,2020-04-20,estimate,0.84,0.77,0.9,0.81,0.87
England,2020-04-21,estimate,0.84,0.78,0.9,0.81,0.86
England,2020-04-22,estimate,0.84,0.77,0.9,0.81,0.86
England,2020-04-23,estimate,0.84,0.77,0.9,0.81,0.87
England,2020-04-24,estimate,0.84,0.78,0.91,0.81,0.87
England,2020-04-25,estimate,0.84,0.78,0.91,0.81,0.86
England,2020-04-26,estimate,0.84,0.78,0.91,0.82,0.87
England,2020-04-27,estimate,0.84,0.77,0.91,0.82,0.87
England,2020-04-28,estimate,0.84,0.78,0.91,0.82,0.87
England,2020-04-29,estimate,0.84,0.78,0.91,0.82,0.87
England,2020-04-30,estimate,0.84,0.78,0.91,0.81,0.87
England,2020-05-01,estimate,0.84,0.78,0.91,0.81,0.86
England,2020-05-02,estimate,0.84,0.77,0.9,0.81,0.86
England,2020-05-03,estimate,0.84,0.77,0.9,0.81,0.86
England,2020-05-04,estimate,0.83,0.77,0.9,0.81,0.86
England,2020-05-05,estimate,0.83,0.76,0.89,0.8,0.85
