region,date,confirm
England,2020-03-19,586
East of England,2020-03-19,23
England,2020-03-20,691
East of England,2020-03-20,23
England,2020-03-21,777
East of England,2020-03-21,37
England,2020-03-22,859
East of England,2020-03-22,49
England,2020-03-23,1128
East of England,2020-03-23,46
England,2020-03-24,1544
East of England,2020-03-24,106
England,2020-03-25,1755
East of England,2020-03-25,76
England,2020-03-26,1639
East of England,2020-03-26,160
England,2020-03-27,1931
East of England,2020-03-27,94
England,2020-03-28,1873
East of England,2020-03-28,124
England,2020-03-29,2186
East of England,2020-03-29,201
England,2020-03-30,2817
East of England,2020-03-30,148
England,2020-03-31,2447
East of England,2020-03-31,146
England,2020-04-01,3099
East of England,2020-04-01,167
England,2020-04-02,2932
East of England,2020-04-02,184
England,2020-04-03,2564
East of England,2020-04-03,192
England,2020-04-04,2593
East of England,2020-04-04,163
England,2020-04-05,2592
East of England,2020-04-05,220
England,2020-04-06,2679
East of England,2020-04-06,231
England,2020-04-07,2744
East of England,2020-04-07,164
England,2020-04-08,2619
East of England,2020-04-08,219
England,2020-04-09,2340
East of England,2020-04-09,192
England,2020-04-10,2196
East of England,2020-04-10,215
England,2020-04-11,1955
East of England,2020-04-11,165
England,2020-04-12,1791
East of England,2020-04-12,144
England,2020-04-13,1912
East of England,2020-04-13,214
England,2020-04-14,1859
East of England,2020-04-14,187
England,2020-04-15,1608
East of England,2020-04-15,113
England,2020-04-16,1777
East of England,2020-04-16,133
England,2020-04-17,1674
East of England,2020-04-17,154
England,2020-04-18,1411
East of England,2020-04-18,191
England,2020-04-19,1475
East of England,2020-04-19,148
England,2020-04-20,1522
East of England,2020-04-20,126
England,2020-04-21,1495
East of England,2020-04-21,148
England,2020-04-22,1310
East of England,2020-04-22,120
England,2020-04-23,1289
East of England,2020-04-23,128
England,2020-04-24,1277
East of England,2020-04-24,141
England,2020-04-25,1080
East of England,2020-04-25,128
England,2020-04-26,1208
East of England,2020-04-26,148
England,2020-04-27,1344
East of England,2020-04-27,127
England,2020-04-28,1296
East of England,2020-04-28,184
England,2020-04-29,1295
East of England,2020-04-29,157
England,2020-04-30,1227
East of England,2020-04-30,198
England,2020-05-01,1081
East of England,2020-05-01,127
England,2020-05-02,980
East of England,2020-05-02,111
England,2020-05-03,1044
East of England,2020-05-03,166
England,2020-05-04,1063
East of England,2020-05-04,106
England,2020-05-05,959
East of England,2020-05-05,90
England,2020-05-06,1040
East of England,2020-05-06,128
England,2020-05-07,998
East of England,2020-05-07,116
England,2020-05-08,743
East of England,2020-05-08,70
England,2020-05-09,798
East of England,2020-05-09,101
England,2020-05-10,756
East of England,2020-05-10,71
England,2020-05-11,866
East of England,2020-05-11,88
England,2020-05-12,844
East of England,2020-05-12,116
England,2020-05-13,804
East of England,2020-05-13,72
England,2020-05-14,763
East of England,2020-05-14,88
England,2020-05-15,738
East of England,2020-05-15,92
England,2020-05-16,671
East of England,2020-05-16,72
England,2020-05-17,673
East of England,2020-05-17,85
England,2020-05-18,733
East of England,2020-05-18,81
England,2020-05-19,752
East of England,2020-05-19,86
England,2020-05-20,732
East of England,2020-05-20,93
