region,date,type,median,lower_90,upper_90,lower_50,upper_50
England,2020-05-15,estimate,1218,533,1884,932,1451
England,2020-05-16,estimate,1160,502,1787,797,1321
England,2020-05-17,estimate,888,452,1427,652,1035
England,2020-05-18,estimate,658,326,1085,424,726
England,2020-05-19,estimate,828,413,1343,568,938
England,2020-05-20,estimate,700,323,1135,496,818
England,2020-05-21,estimate,855,399,1383,633,1012
England,2020-05-22,estimate,862,392,1347,616,998
England,2020-05-23,estimate,818,423,1318,605,962
England,2020-05-24,estimate,620,278,961,410,688
England,2020-05-25,estimate,477,231,765,318,536
England,2020-05-26,estimate,580,271,915,441,698
England,2020-05-27,estimate,496,226,783,354,579
England,2020-05-28,estimate,596,309,960,420,682
England,2020-05-29,estimate,614,287,959,421,691
England,2020-05-30,estimate,570,277,926,403,656
England,2020-05-31,estimate,438,196,681,313,509
England,2020-06-01,estimate,332,153,534,242,393
England,2020-06-02,estimate,406,179,643,278,460
England,2020-06-03,estimate,353,173,578,241,399
England,2020-06-04,estimate,423,205,690,283,481
England,2020-06-05,estimate,434,183,675,298,492
England,2020-06-06,estimate,411,205,688,293,487
England,2020-06-07,estimate,312,150,491,212,352
England,2020-06-08,estimate,240,106,379,170,276
England,2020-06-09,estimate,305,145,483,212,348
England,2020-06-10,estimate,256,114,405,183,296
England,2020-06-11,estimate,314,137,492,227,368
England,2020-06-12,estimate,321,162,519,218,361
England,2020-06-13,estimate,319,161,524,224,371
England,2020-06-14,estimate,237,112,380,177,281
England,2020-06-15,estimate,188,84,300,147,230
England,2020-06-16,estimate,230,103,372,166,270
England,2020-06-17,estimate,201,89,322,134,229
England,2020-06-18,estimate,250,110,396,182,293
England,2020-06-19,estimate,267,121,417,176,298
England,2020-06-20,estimate,257,111,412,179,294
England,2020-06-21,estimate,202,95,322,136,227
England,2020-06-22,estimate,164,77,277,100,179
England,2020-06-23,estimate,210,86,345,150,246
England,2020-06-24,estimate,192,95,312,142,228
England,2020-06-25,estimate,254,110,398,184,298
England,2020-06-26,estimate,270,133,438,181,304
England,2020-06-27,estimate,285,132,449,199,330
England,2020-06-28,estimate,234,108,379,159,264
England,2020-06-29,estimate,198,98,323,136,226
England,2020-06-30,estimate,272,130,434,195,318
England,2020-07-01,estimate,258,121,411,186,303
England,2020-07-02,estimate,354,170,571,238,403
England,2020-07-03,estimate,392,185,632,278,460
England,2020-07-04,estimate,424,202,674,335,533
England,2020-07-05,estimate,356,169,560,261,423
England,2020-07-06,estimate,305,137,476,229,365
England,2020-07-07,estimate,408,199,674,280,462
England,2020-07-08,estimate,395,175,636,257,442
England,2020-07-09,estimate,536,266,870,394,639
England,2020-07-10,estimate,592,247,916,447,709
England,2020-07-11,estimate,618,266,986,419,700
England,2020-07-12,estimate,516,237,809,350,583
England,2020-07-13,estimate,412,207,687,282,467
England,2020-07-14,estimate,557,244,880,385,637
England,2020-07-15,estimate,517,224,807,368,596
England,2020-07-16,estimate,659,302,1039,486,774
England,2020-07-17,estimate,716,321,1122,536,852
England,2020-07-18,estimate,731,344,1152,504,834
England,2020-07-19,estimate,575,260,902,386,650
England,2020-07-20,estimate,473,216,740,337,544
England,2020-07-21,estimate,609,294,982,411,677
England,2020-07-22,estimate,559,228,854,400,661
England,2020-07-23,estimate,715,339,1128,514,809
England,2020-07-24,estimate,752,353,1197,561,908
England,2020-07-25,estimate,756,367,1233,569,908
England,2020-07-26,estimate,604,302,984,402,682
England,2020-07-27,estimate,503,225,824,318,559
England,2020-07-28,estimate,653,319,1060,456,749
England,2020-07-29,estimate,600,278,942,442,704
England,2020-07-30,estimate,770,376,1263,544,881
England,2020-07-31,estimate,831,393,1298,632,1000
England,2020-08-01,estimate,838,410,1412,547,920
England,2020-08-02,estimate,686,343,1107,468,785
England,2020-08-03,estimate,563,294,924,392,641
England,2020-08-04,estimate,749,377,1215,518,843
England,2020-08-05,estimate,684,301,1078,464,779
England,2020-08-06,estimate,900,428,1404,675,1085
England,2020-08-07,estimate,954,457,1531,648,1092
England,2020-08-08,estimate,991,461,1597,729,1175
England,2020-08-09,estimate,808,374,1288,556,920
England,2020-08-10,estimate based on partial data,650,294,1037,456,747
England,2020-08-11,estimate based on partial data,848,418,1351,549,932
England,2020-08-12,estimate based on partial data,762,323,1213,506,850
England,2020-08-13,estimate based on partial data,982,470,1598,690,1137
England,2020-08-14,estimate based on partial data,1058,483,1718,784,1263
England,2020-08-15,estimate based on partial data,1064,456,1668,753,1241
England,2020-08-16,estimate based on partial data,876,409,1381,611,1006
England,2020-08-17,estimate based on partial data,690,307,1091,461,769
England,2020-08-18,estimate based on partial data,895,430,1482,619,1020
England,2020-08-19,estimate based on partial data,808,386,1313,521,894
England,2020-08-20,estimate based on partial data,1029,484,1686,722,1188
Northern Ireland,2020-05-15,estimate,46,0,135,1,46
Northern Ireland,2020-05-16,estimate,22,0,62,1,22
Northern Ireland,2020-05-17,estimate,17,0,49,0,17
Northern Ireland,2020-05-18,estimate,18,0,50,1,18
Northern Ireland,2020-05-19,estimate,24,0,66,3,26
Northern Ireland,2020-05-20,estimate,29,0,83,2,30
Northern Ireland,2020-05-21,estimate,33,0,93,1,33
Northern Ireland,2020-05-22,estimate,33,0,94,0,33
Northern Ireland,2020-05-23,estimate,16,0,49,0,16
Northern Ireland,2020-05-24,estimate,13,0,37,0,13
Northern Ireland,2020-05-25,estimate,13,0,36,0,13
Northern Ireland,2020-05-26,estimate,16,0,46,0,16
Northern Ireland,2020-05-27,estimate,21,0,59,1,21
Northern Ireland,2020-05-28,estimate,22,0,69,0,22
Northern Ireland,2020-05-29,estimate,21,0,60,0,21
Northern Ireland,2020-05-30,estimate,10,0,30,0,10
