region,date,confirm
Wales,2020-09-19,23
Wales,2020-09-20,15
Wales,2020-09-21,16
Northern Ireland,2020-09-21,9
Wales,2020-09-22,17
Northern Ireland,2020-09-22,7
Wales,2020-09-23,27
Northern Ireland,2020-09-23,7
Wales,2020-09-24,26
Northern Ireland,2020-09-24,4
Wales,2020-09-25,29
Northern Ireland,2020-09-25,2
Wales,2020-09-26,22
Northern Ireland,2020-09-26,7
Wales,2020-09-27,32
Northern Ireland,2020-09-27,10
Wales,2020-09-28,24
Northern Ireland,2020-09-28,15
Wales,2020-09-29,30
Northern Ireland,2020-09-29,7
Wales,2020-09-30,27
Northern Ireland,2020-09-30,8
Wales,2020-10-01,29
Northern Ireland,2020-10-01,14
Wales,2020-10-02,24
Northern Ireland,2020-10-02,9
Wales,2020-10-03,23
Northern Ireland,2020-10-03,19
Wales,2020-10-04,31
Northern Ireland,2020-10-04,14
Wales,2020-10-05,51
Northern Ireland,2020-10-05,20
Wales,2020-10-06,33
Northern Ireland,2020-10-06,23
Wales,2020-10-07,44
Northern Ireland,2020-10-07,24
Wales,2020-10-08,49
Northern Ireland,2020-10-08,23
Wales,2020-10-09,38
Northern Ireland,2020-10-09,23
Wales,2020-10-10,45
Northern Ireland,2020-10-10,23
Wales,2020-10-11,39
Northern Ireland,2020-10-11,28
Wales,2020-10-12,47
Northern Ireland,2020-10-12,33
Wales,2020-10-13,69
Northern Ireland,2020-10-13,31
Wales,2020-10-14,67
Northern Ireland,2020-10-14,26
Wales,2020-10-15,65
Northern Ireland,2020-10-15,44
Wales,2020-10-16,47
Northern Ireland,2020-10-16,40
Wales,2020-10-17,54
Northern Ireland,2020-10-17,37
Wales,2020-10-18,43
Northern Ireland,2020-10-18,36
Wales,2020-10-19,47
Northern Ireland,2020-10-19,32
Wales,2020-10-20,71
Northern Ireland,2020-10-20,39
Wales,2020-10-21,62
Northern Ireland,2020-10-21,34
Wales,2020-10-22,70
Northern Ireland,2020-10-22,46
Wales,2020-10-23,78
Northern Ireland,2020-10-23,41
Wales,2020-10-24,66
Northern Ireland,2020-10-24,41
Wales,2020-10-25,57
Northern Ireland,2020-10-25,33
Wales,2020-10-26,81
Northern Ireland,2020-10-26,44
Wales,2020-10-27,95
Northern Ireland,2020-10-27,41
Wales,2020-10-28,84
Northern Ireland,2020-10-28,30
Wales,2020-10-29,60
Northern Ireland,2020-10-29,35
Wales,2020-10-30,74
Northern Ireland,2020-10-30,35
Wales,2020-10-31,62
Northern Ireland,2020-10-31,
Northern Ireland,2020-11-01,
Northern Ireland,2020-11-02,
