region,date,confirm
England,2020-05-01,623
Northern Ireland,2020-05-01,18
Scotland,2020-05-01,40
Wales,2020-05-01,17
England,2020-05-02,485
Northern Ireland,2020-05-02,11
Scotland,2020-05-02,44
Wales,2020-05-02,44
England,2020-05-03,222
Northern Ireland,2020-05-03,5
Scotland,2020-05-03,12
Wales,2020-05-03,14
England,2020-05-04,247
Northern Ireland,2020-05-04,6
Scotland,2020-05-04,5
Wales,2020-05-04,14
England,2020-05-05,639
Northern Ireland,2020-05-05,17
Scotland,2020-05-05,44
Wales,2020-05-05,26
England,2020-05-06,529
Northern Ireland,2020-05-06,14
Scotland,2020-05-06,83
Wales,2020-05-06,21
England,2020-05-07,377
Northern Ireland,2020-05-07,4
Scotland,2020-05-07,59
Wales,2020-05-07,18
England,2020-05-08,498
Northern Ireland,2020-05-08,4
Scotland,2020-05-08,49
Wales,2020-05-08,28
England,2020-05-09,226
Northern Ireland,2020-05-09,4
Scotland,2020-05-09,36
Wales,2020-05-09,9
England,2020-05-10,190
Northern Ireland,2020-05-10,5
Scotland,2020-05-10,10
Wales,2020-05-10,12
England,2020-05-11,174
Northern Ireland,2020-05-11,3
Scotland,2020-05-11,5
Wales,2020-05-11,5
England,2020-05-12,539
Northern Ireland,2020-05-12,9
Scotland,2020-05-12,50
Wales,2020-05-12,16
England,2020-05-13,362
Northern Ireland,2020-05-13,2
Scotland,2020-05-13,61
Wales,2020-05-13,22
England,2020-05-14,303
Northern Ireland,2020-05-14,5
Scotland,2020-05-14,34
Wales,2020-05-14,10
England,2020-05-15,280
Northern Ireland,2020-05-15,15
Scotland,2020-05-15,46
Wales,2020-05-15,9
England,2020-05-16,348
Northern Ireland,2020-05-16,4
Scotland,2020-05-16,41
Wales,2020-05-16,18
England,2020-05-17,43
Northern Ireland,2020-05-17,3
Scotland,2020-05-17,9
Wales,2020-05-17,12
England,2020-05-18,134
Northern Ireland,2020-05-18,6
Scotland,2020-05-18,2
Wales,2020-05-18,4
England,2020-05-19,447
Northern Ireland,2020-05-19,7
Scotland,2020-05-19,29
Wales,2020-05-19,17
England,2020-05-20,259
Northern Ireland,2020-05-20,5
Scotland,2020-05-20,50
Wales,2020-05-20,14
England,2020-05-21,220
Northern Ireland,2020-05-21,7
Scotland,2020-05-21,37
Wales,2020-05-21,9
England,2020-05-22,257
Northern Ireland,2020-05-22,3
Scotland,2020-05-22,24
Wales,2020-05-22,7
England,2020-05-23,197
Northern Ireland,2020-05-23,1
Scotland,2020-05-23,16
Wales,2020-05-23,6
England,2020-05-24,362
Northern Ireland,2020-05-24,1
Scotland,2020-05-24,9
Wales,2020-05-24,7
England,2020-05-25,86
Northern Ireland,2020-05-25,8
Scotland,2020-05-25,3
Wales,2020-05-25,7
England,2020-05-26,105
