region,date,type,median,lower_90,upper_90,lower_50,upper_50
East Midlands,2020-05-15,estimate,18,15,20,16,19
East Midlands,2020-05-16,estimate,17,14,20,16,18
East Midlands,2020-05-17,estimate,17,14,19,15,17
East Midlands,2020-05-18,estimate,16,13,19,15,17
East Midlands,2020-05-19,estimate,16,13,18,15,17
East Midlands,2020-05-20,estimate,15,13,18,14,16
East Midlands,2020-05-21,estimate,15,12,17,13,15
East Midlands,2020-05-22,estimate,14,12,17,13,15
East Midlands,2020-05-23,estimate,14,11,16,13,14
East Midlands,2020-05-24,estimate,13,11,16,12,14
East Midlands,2020-05-25,estimate,13,11,15,12,14
East Midlands,2020-05-26,estimate,12,10,15,11,13
East Midlands,2020-05-27,estimate,12,10,14,11,12
East Midlands,2020-05-28,estimate,11,10,13,11,12
East Midlands,2020-05-29,estimate,11,9,13,10,12
East Midlands,2020-05-30,estimate,11,9,13,10,11
East Midlands,2020-05-31,estimate,10,9,12,9,11
East Midlands,2020-06-01,estimate,10,8,12,9,10
East Midlands,2020-06-02,estimate,9,8,11,9,10
East Midlands,2020-06-03,estimate,9,8,11,8,10
East Midlands,2020-06-04,estimate,9,7,10,8,9
East Midlands,2020-06-05,estimate,8,7,10,8,9
East Midlands,2020-06-06,estimate,8,6,9,7,8
East Midlands,2020-06-07,estimate,8,6,9,7,8
East Midlands,2020-06-08,estimate,7,6,9,7,8
East Midlands,2020-06-09,estimate,7,6,8,6,7
East Midlands,2020-06-10,estimate,7,5,8,6,7
East Midlands,2020-06-11,estimate,6,5,8,6,7
East Midlands,2020-06-12,estimate,6,5,7,5,6
East Midlands,2020-06-13,estimate,6,5,7,5,6
East Midlands,2020-06-14,estimate,5,4,6,5,6
East Midlands,2020-06-15,estimate,5,4,6,5,5
East Midlands,2020-06-16,estimate,5,4,6,4,5
East Midlands,2020-06-17,estimate,5,4,6,4,5
East Midlands,2020-06-18,estimate,4,3,5,4,5
East Midlands,2020-06-19,estimate,4,3,5,4,4
East Midlands,2020-06-20,estimate,4,3,5,4,4
East Midlands,2020-06-21,estimate,4,3,5,3,4
East Midlands,2020-06-22,estimate,4,3,4,3,4
East Midlands,2020-06-23,estimate,3,3,4,3,4
East Midlands,2020-06-24,estimate,3,3,4,3,4
East Midlands,2020-06-25,estimate,3,2,4,3,3
East Midlands,2020-06-26,estimate,3,2,4,3,3
East Midlands,2020-06-27,estimate,3,2,3,3,3
East Midlands,2020-06-28,estimate,3,2,3,2,3
East Midlands,2020-06-29,estimate,3,2,3,2,3
East Midlands,2020-06-30,estimate,2,2,3,2,3
East Midlands,2020-07-01,estimate,2,2,3,2,2
East Midlands,2020-07-02,estimate,2,2,3,2,2
East Midlands,2020-07-03,estimate,2,2,3,2,2
East Midlands,2020-07-04,estimate,2,1,2,2,2
East Midlands,2020-07-05,estimate,2,1,2,2,2
East Midlands,2020-07-06,estimate,2,1,2,2,2
East Midlands,2020-07-07,estimate,2,1,2,1,2
East Midlands,2020-07-08,estimate,2,1,2,1,2
East Midlands,2020-07-09,estimate,2,1,2,1,2
East Midlands,2020-07-10,estimate,1,1,2,1,2
East Midlands,2020-07-11,estimate,1,1,2,1,2
East Midlands,2020-07-12,estimate,1,1,2,1,1
East Midlands,2020-07-13,estimate,1,1,2,1,1
East Midlands,2020-07-14,estimate,1,1,2,1,1
East Midlands,2020-07-15,estimate,1,1,1,1,1
East Midlands,2020-07-16,estimate,1,1,1,1,1
East Midlands,2020-07-17,estimate,1,1,1,1,1
East Midlands,2020-07-18,estimate,1,1,1,1,1
East Midlands,2020-07-19,estimate,1,1,1,1,1
East Midlands,2020-07-20,estimate,1,1,1,1,1
East Midlands,2020-07-21,estimate,1,1,1,1,1
East Midlands,2020-07-22,estimate,1,0,1,1,1
East Midlands,2020-07-23,estimate,1,0,1,1,1
East Midlands,2020-07-24,estimate,1,0,1,1,1
East Midlands,2020-07-25,estimate,1,0,1,0,1
East Midlands,2020-07-26,estimate,1,0,1,0,1
East Midlands,2020-07-27,estimate,1,0,1,0,1
East Midlands,2020-07-28,estimate,1,0,1,0,1
East Midlands,2020-07-29,estimate,0,0,1,0,1
East Midlands,2020-07-30,estimate,0,0,1,0,1
East Midlands,2020-07-31,estimate,0,0,1,0,0
East Midlands,2020-08-01,estimate,0,0,1,0,0
East Midlands,2020-08-02,estimate,0,0,1,0,0
East Midlands,2020-08-03,estimate based on partial data,0,0,1,0,0
East Midlands,2020-08-04,estimate based on partial data,0,0,1,0,0
East Midlands,2020-08-05,estimate based on partial data,0,0,1,0,0
East Midlands,2020-08-06,estimate based on partial data,0,0,1,0,0
East Midlands,2020-08-07,estimate based on partial data,0,0,0,0,0
East Midlands,2020-08-08,estimate based on partial data,0,0,0,0,0
East Midlands,2020-08-09,estimate based on partial data,0,0,0,0,0
East Midlands,2020-08-10,estimate based on partial data,0,0,0,0,0
East Midlands,2020-08-11,estimate based on partial data,0,0,0,0,0
East Midlands,2020-08-12,estimate based on partial data,0,0,0,0,0
East Midlands,2020-08-13,estimate based on partial data,0,0,0,0,0
East Midlands,2020-08-14,estimate based on partial data,0,0,0,0,0
East Midlands,2020-08-15,estimate based on partial data,0,0,0,0,0
East Midlands,2020-08-16,estimate based on partial data,0,0,0,0,0
East Midlands,2020-08-17,estimate based on partial data,0,0,0,0,0
East Midlands,2020-08-18,estimate based on partial data,0,0,0,0,0
East Midlands,2020-08-19,estimate based on partial data,0,0,0,0,0
East Midlands,2020-08-20,estimate based on partial data,0,0,0,0,0
East of England,2020-05-15,estimate,18,16,22,17,19
East of England,2020-05-16,estimate,18,15,21,16,19
East of England,2020-05-17,estimate,17,14,20,15,18
East of England,2020-05-18,estimate,16,14,19,15,17
East of England,2020-05-19,estimate,15,13,18,14,16
East of England,2020-05-20,estimate,14,12,17,13,15
East of England,2020-05-21,estimate,14,11,16,13,15
East of England,2020-05-22,estimate,13,10,15,12,14
East of England,2020-05-23,estimate,12,10,15,11,13
East of England,2020-05-24,estimate,12,9,14,11,13
